lig_id,zinc_id,can_smiles,zinc_bin
Z00183,77555262,COc1cccc(CN2C[C@]34C=C[C@H](O3)[C@@H](C(=O)N(C)Cc3cc(C)on3)[C@H]4C2=O)c1,HD
Z00184,1506417801,CN(Cc1cc(O)c2cccc(F)c2n1)[C@@H]1CS(=O)(=O)C[C@H]1O,EC
Z00185,584898906,CCCN1CCC[C@H](NC(=O)c2[nH]nnc2C)C1,CC
Z00186,2325779006,O=C(Cn1cnc(-c2ccccc2)n1)NC[C@@]12CCCN[C@H]1CCC2,ED
Z00187,85474689,NC(=O)CN1C(=O)[C@]2(CCN(C(=O)C3CCOCC3)C2)c2ccccc21,FC
Z00188,4262590,OC[C@@H]1COCCOCCOCCOCCO1,CB
Z00189,97425170,Cc1cc2nc(C(=O)N3CCNC(=O)[C@@H]3c3cccc(F)c3)cc(C)n2n1,FD
Z00190,100071899,CCOC(=O)CCc1c(C)[nH]c2nc(-c3ccccc3)nn2c1=O,ED
Z00191,244724756,Cn1c(Cn2cccn2)nnc1[C@H]1C[C@@H](NC(=O)c2ccc(O)cc2)C1,FD
Z00192,82120453,O=C(NC[C@@H]1C[C@H](F)CN1)c1ccc2ncsc2c1,CD
Z00193,2454856,COC(=O)c1ccc(NC(=O)CSc2nnc(C)c(=O)n2N)cc1,EC
Z00194,971784,Cc1ccc(NC(=O)C[C@H]2SC(=O)NC2=O)cc1,CD
Z00195,72424470,O=C(C[C@@H]1COCCN1C(=O)CCCn1cnnn1)N1CCC(O)CC1,FB
Z00196,67755276,Cc1ccc(CN2CCNC(=O)[C@H]2CC(=O)NCc2cn3ccc(C)cc3n2)cc1,HD
Z00197,534637743,OCC1(CNC2CSCCSC2)CCCC1,CD
Z00198,19789653,CN1CCN(C(=O)c2cccc3nccnc23)CC1=O,CC
Z00199,426693896,COc1nccnc1-c1ccc(C(=O)N[C@H]2COC[C@@H]2N2CCCC2)cc1,FD
Z00200,91504023,CN(Cc1noc(C2CCC2)n1)C(=O)CC[C@H]1NC(=O)NC1=O,DC
Z00201,6800393,CN1C(C(=O)NC[C@H]2CCCO2)=CC(c2cccs2)=NS1(=O)=O,FC
Z00202,106993419,COc1cc(N2CCN(CCc3ccccc3)[C@@H](CCO)C2)nc(N)n1,FD
Z00203,91860579,COCCN(C)C[C@@H]1CN(C(=O)c2c(C)c3cc(F)ccc3n2C)C[C@@H]1CO,GD
Z00204,1704360449,CN(C)S(=O)(=O)C[C@@H]1COC[C@H]1NC(=O)c1cccc(C(F)(F)F)c1,GD
Z00205,670456865,COc1ccc(F)c(F)c1C(=O)N1C[C@H](O)[C@@H](N(C)C)C1,DC
Z00206,2325896723,CC(C)[C@@H](NC(=O)c1cccc2c1CN([C@H]1CCC(=O)NC1=O)C2=O)C(=O)O,GC
Z00207,67965568,Cn1nc(C2CCN(C[C@@H]3CCOC3)CC2)n(-c2ccccc2)c1=O,ED
Z00208,1704340040,CC1(C)CCN(S(=O)(=O)N[C@H]2COC[C@H]2Cc2ccncc2)CC1,FD
Z00209,299781746,CC(C)Nc1ncc(C(=O)N2CC[C@@H]3OCc4cnnn4[C@H]3C2)cn1,EC
Z00210,244884104,COCC(=O)N1CCCN(C(=O)c2ccc(N3CCCCC3)cc2)CC1,FD
Z00211,426425503,O=C(c1cc(Cl)c[nH]1)N1CCCN(c2ncccn2)CC1,DD
Z00212,1565515876,O=C(N[C@@H]1[C@@H]2CCO[C@@H]2[C@H]1N1CCCCC1)c1cn2cccnc2n1,ED
Z00213,1704338314,CC(C)Oc1ccc(C(=O)N[C@H]2COC[C@H]2CS(=O)(=O)N(C)C)cc1,FD
Z00214,71760287,CCc1noc(CN(CC)C(=O)[C@@H]2CNCCO2)n1,CB
Z00215,2944231,Cc1ccc(NC(=O)C(=O)NC[C@H](O)c2ccccc2)cc1,CD
Z00216,65393574,O=C1CC[C@@H](CN(Cc2cccnc2)Cc2ncc[nH]2)N1,CD
Z00217,670469391,NS(=O)(=O)c1ccc(F)c(C(=O)N[C@H]2CCCN(C(=O)c3ccco3)C2)c1,GD
Z00218,77516311,O=C1CC[C@@]2(CCCN(S(=O)(=O)C3CC3)C2)CN1Cc1ccccn1,FD
Z00219,67655041,COCCN1CCC[C@](O)(CN2CCc3c(c(CO)nn3C)C2)C1=O,FB
Z00220,426669167,COc1ccccc1-c1cc(C(=O)N[C@@H]2COCC[C@H]2OC)n[nH]1,ED
Z00221,67982266,Cn1nnnc1SCC(=O)NCc1cccnc1N1CCC[C@H](O)C1,FB
Z00222,2382368274,CN(C)S(=O)(=O)C[C@H]1COC[C@@H]1NC(=O)c1cnc2ccccn2c1=O,GB
Z00223,1857716868,CN(C)S(=O)(=O)N1CCC2(CCc3c(O)nc(=N)[nH]c32)CC1,EB
Z00224,72470825,CC(C)(C)CN1CCN(Cc2cccnc2)[C@@H]2CS(=O)(=O)C[C@@H]21,ED
Z00225,1529110418,CCN(CCn1cccn1)Cc1nnc(C(C)C)o1,CD
Z00226,91663859,CCc1nnc(CNC(=O)CC[C@H]2NC(=O)NC2=O)s1,CB
Z00227,584890165,CCO[C@H]1CN(C)C[C@@H]1NC(=O)CCCn1cnnn1,CB
Z00228,222516337,Cc1nccn1CCN(C)C(=O)CN(c1cccc(F)c1)S(C)(=O)=O,FD
Z00229,1772708739,CN1CCCN(CC(=O)N2CCC([C@H](O)CO)CC2)CC1,CB
Z00230,92078680,CCNc1ncc(C(=O)N2CCSCC2)cn1,CD
Z00231,299796416,COCCn1cnnc1[C@H](C)NC(=O)Cn1ccc2ccccc21,ED
Z00232,72418762,CNCCN1C(=O)CC[C@H]2CN(Cc3c(C)noc3C)CC[C@H]21,DD
Z00233,243902077,CC(=O)N[C@H]1C[C@H](c2nnc(CN3CCC(CCn4cccn4)CC3)n2C)C1,GD
Z00234,95383166,CC(=O)c1ccc(CN2CCC3(CC2)[C@@H](C(=O)O)CC(=O)N3C)cc1,ED
Z00235,534644783,COCc1noc(CNC(=O)c2c3c(nn2C)CCCC3)n1,DC
Z00236,1857671314,O=C1C[C@@H](C(=O)N2CCc3[nH]nc(C4CC4)c3CC2)CN1Cc1ccccn1,GD
Z00237,77555387,CCN1CCN(C(=O)C2=Cc3ccccc3OC=C2)[C@H]2CS(=O)(=O)C[C@H]21,FD
Z00238,9059988,CC1=NN(C)c2nc3c(c(=O)n(CCC(C)C)c(=O)n3C)n2C1,DC
Z00239,1875249413,CCCO[C@@H]1C[C@@H](C(=O)NCc2nc(C3CC3)no2)CC[C@H]1NC(=O)COC,GD
Z00240,1506414683,CCN1CCC[C@@H]1CN1CCCN(S(=O)(=O)N2CCCC2)CC1,EC
Z00241,2383346588,CC(=O)N[C@@H]1CC[C@H](C(=O)O)CN(S(=O)(=O)c2ccc(C(F)(F)F)cc2)C1,HD
Z00242,299781323,CC(C)c1cc(C(=O)N2CC[C@@H](CS(N)(=O)=O)C2)nc(N)n1,EB
