rank,lig_id,zinc_id,affinity,delta_vs_AMP,arm,tanimoto_to_amp,can_smiles
963,Z42100,77503314,-8.641,0.14,enrichment,0.138,COc1coc(CN2CC[C@@H](NC(=O)c3ccccn3)[C@H](O)C2)cc1=O
964,Z40020,2356147218,-8.641,0.14,enrichment,0.136,O=C1CCN(c2ccccc2C(=O)N2C[C@H]3COC[C@@]3(CO)C2)C(=O)N1
965,Z20186,2382377136,-8.641,0.14,enrichment,0.135,CC[C@@H]1C[C@H](O)CC2(CCN(C(=O)c3cnc4cccnn34)CC2)O1
966,Z43377,1857724731,-8.641,0.14,diversity,0.110,COc1ccc(C(=O)N2C[C@@H](O)[C@]3(C2)[C@H](c2ccccc2)[C@H]3CO)c(OC)n1
967,Z23833,2325803904,-8.64,0.14,enrichment,0.134,O=C([C@@H]1COc2c(F)cc(F)cc2C1)N1O[C@@H]2C[C@H]1[C@@H](O)[C@H]2O
968,Z04997,95528334,-8.64,0.14,diversity,0.096,CC(=O)N1CCC(Oc2ccc(Cl)cc2C(=O)N[C@@H](C)c2nnn[nH]2)CC1
969,Z30412,96150367,-8.64,0.14,diversity,0.111,CCc1nc(-c2ccnc(NC)c2)n(-c2cc(S(N)(=O)=O)ccc2F)n1
970,Z37325,303899,-8.639,0.14,diversity,0.110,O=C(OC1Cn2c(=O)ccc(=O)n2C1)c1ccccc1Cl
971,Z42748,1857738367,-8.638,0.14,enrichment,0.141,Cc1ccc2oc(N3CCC(C(=O)NC4(C(N)=O)CCCC4)CC3)nc2n1
972,Z44449,72437075,-8.637,0.14,enrichment,0.165,O=C(NCCNc1cc(N2CCOCC2)ncn1)c1ccc2c(c1)OCO2
973,Z40915,628135,-8.637,0.14,diversity,0.084,NC(=O)CN(c1ccc(F)cc1)S(=O)(=O)c1ccc2c(c1)OCCO2
974,Z31419,71297171,-8.636,0.14,enrichment,0.141,COc1ncc(-c2c(C#N)c(N)nc3c2[C@@H]2CC[C@H](C3)N2C)cn1
975,Z48238,2382370902,-8.636,0.14,enrichment,0.136,O=C(c1ccc2c(c1)CCO2)N1C[C@H](Cc2cnccn2)[C@@H](O)C1
976,Z15586,670472846,-8.636,0.14,diversity,0.083,CC(C)c1nc(CN2CCC3(CC2)C(=O)N(C)C(=O)N3C)co1
977,Z21980,2325873010,-8.636,0.14,diversity,0.129,C[C@H]1C[C@@H]1C(=O)N1Cc2cnn(C3CCN(C(=O)CS(C)(=O)=O)CC3)c2C1
978,Z32635,1857737096,-8.635,0.14,enrichment,0.146,O=C(NC[C@H]1[C@H]2CN(c3ncccn3)C[C@]23CC[C@H]1O3)c1ccco1
979,Z31204,91625283,-8.635,0.14,enrichment,0.134,O=C([C@H]1CC12CCNCC2)N1CCN(CCOc2ccccc2)CC1
980,Z30496,71711932,-8.635,0.14,diversity,0.082,C[C@H](c1nn2c(Cc3ccccc3)nnc2s1)n1cncn1
981,Z24934,243932328,-8.634,0.14,diversity,0.090,N[C@H]1C[C@H](c2nnc(Cn3ncc(N4CCCC4)cc3=O)n2C2CC2)C1
982,Z36311,13732072,-8.633,0.15,enrichment,0.150,OCCN1CCN(c2ncnc3c2cnn3-c2ccc(F)cc2)CC1
983,Z22690,2384433916,-8.632,0.15,enrichment,0.146,Nc1cnc(-c2cc3c(s2)CCOC32CCN(C(=O)[C@H]3C[C@H](O)C3)CC2)cn1
984,Z20226,71638967,-8.632,0.15,enrichment,0.136,Nc1ccnc(N2CCC(N3CCC[C@H](C(=O)N4CCCC4)C3)CC2)n1
985,Z05256,2356169806,-8.631,0.15,enrichment,0.135,O=C(CO)NC[C@@H]1[C@@H](c2ccccc2)[C@]12CN(Cc1ccn3ncnc3c1)C[C@@H]2O
986,Z09066,534645456,-8.631,0.15,diversity,0.065,CCc1nccn1C[C@H](C)NCc1cccc(-c2nn[nH]n2)c1
987,Z48088,2384434635,-8.631,0.15,diversity,0.115,COc1cccc([C@H]2CC(=O)N=C3NN4C(C)=CC(C)=NC4=C32)n1
988,Z00677,12202571,-8.631,0.15,diversity,0.102,O=C(Cn1cnnn1)N1CCC[C@@H](Nc2ccc(F)c(F)c2)C1
989,Z42778,2382384563,-8.63,0.15,enrichment,0.138,Cn1ccn2ncc(C(=O)N3CCO[C@H](CO)[C@H]3c3ccccc3)c12
990,Z49246,1529105703,-8.63,0.15,enrichment,0.134,CC(=O)N1CCC(C(=O)N2C[C@@H](O)[C@H](Cc3cc(C)[nH]n3)C2)CC1
991,Z15477,2356154287,-8.629,0.15,enrichment,0.134,O=C(CCCOc1ccccc1)N1CCC2(CC1)OCC[C@H](O)[C@@H]2O
992,Z25341,2325816626,-8.629,0.15,diversity,0.101,Fc1ccc2[nH]c(=NC[C@H]3CCn4cnnc4C3)oc2c1
993,Z06695,49408132,-8.629,0.15,diversity,0.101,O=c1n(CCOc2ccccc2)nc2ccc(S(=O)(=O)N3CCSCC3)cn12
994,Z23015,4316648,-8.629,0.15,diversity,0.062,Cn1c(=O)c2c(nc3n2CC(C(C)(C)C)=NN3)n(C)c1=O
995,Z43888,91651414,-8.628,0.15,enrichment,0.151,O=C(NCc1cnn2cccnc12)[C@H]1CC(=O)N(C2CCCC2)C1
996,Z49655,1875247835,-8.628,0.15,diversity,0.106,CO[C@H]1C[C@@H](C(=O)N2CCNC(=O)C2)CC[C@@H]1NC(=O)c1cccn1C1CC1
997,Z10780,67726202,-8.626,0.15,enrichment,0.138,Cc1ncnc(N2CCC(n3cc(C(=O)NCC(C)C)nn3)CC2)c1C
998,Z42477,426425444,-8.626,0.15,diversity,0.079,OCCN=c1[nH]c([C@H]2CCOC2)cc(=NC2Cc3ccccc3C2)[nH]1
999,Z08619,2126597,-8.625,0.15,enrichment,0.183,OC[C@@H]1O[C@@H](Oc2ccc3cc(Br)ccc3c2)[C@@H](O)[C@H](O)[C@H]1O
1000,Z41247,219202032,-8.625,0.15,enrichment,0.173,O=C(N[C@H]1C[C@@H](c2cc(N3CCOCC3)ncn2)C1)c1cn[nH]c1
1001,Z37851,216154515,-8.625,0.15,enrichment,0.148,Cc1nc(N)ncc1C(=O)N1CCC[C@H](OCc2ccccn2)C1
1002,Z00253,2384423109,-8.624,0.15,enrichment,0.160,CN1C[C@@H]2CN(c3cc(N)ncn3)C[C@@H]2[C@H]1c1cccc(F)c1
1003,Z12282,1772704936,-8.624,0.15,enrichment,0.135,Cc1cc(C(=O)N2C[C@H]3CN(C(=O)C4CCOCC4)C[C@]3(CN(C)C)C2)nn1C
1004,Z09379,91974085,-8.623,0.16,enrichment,0.134,COC(=O)c1cc(OCC2CCC2)cc(C(=O)N2CC[C@@H](O)C2)c1
1005,Z12961,2382408344,-8.621,0.16,enrichment,0.140,CNC(=O)C[C@@H]1CC[C@H](CNC(=O)c2ccc3ncccc3c2)N1C
1006,Z10242,2325771118,-8.621,0.16,diversity,0.088,O=C(NC1CC1)C1CCN(Cn2nc3cc(C(F)(F)F)ccn3c2=O)CC1
1007,Z44943,1772803908,-8.619,0.16,diversity,0.102,O=C([C@H]1CCc2sc(-c3ccncc3)nc2C1)N1C[C@@H](CO)C[C@@H](CO)C1
1008,Z43463,91444958,-8.617,0.16,enrichment,0.173,Nc1cc(N2CC[C@@]3(CCCN(C4CCOCC4)C3=O)C2)ncn1
1009,Z28349,77487281,-8.617,0.16,enrichment,0.133,CCc1ncc(C(=O)N2CCC(C(=O)N3CCCCC3)CC2)cn1
1010,Z27717,67125770,-8.617,0.16,diversity,0.102,O=C(CCCC[C@@H]1SC[C@H]2NC(=O)N[C@H]21)NCc1ccccn1
1011,Z00815,426380745,-8.617,0.16,diversity,0.104,N=c1ncnc2[nH][nH]c(-c3ccc4c(c3)OCCO4)c1-2
1012,Z24747,2382363097,-8.616,0.16,enrichment,0.138,O=C(CCN1CCOCC1)N1C[C@H](Cc2ccnc3ccccc23)[C@@H](O)C1
1013,Z45727,243892356,-8.616,0.16,enrichment,0.138,O=C(N[C@@H](Cc1ccncc1)[C@H]1C[C@H](O)C1)c1cn2cccnc2n1
1014,Z26378,2382384415,-8.616,0.16,enrichment,0.136,CN1CC[C@H](O)[C@@H](C(=O)NCc2cc(-c3ccccn3)no2)C1
1015,Z02177,426429692,-8.615,0.16,enrichment,0.149,COCC[C@@H]1CN(C(=O)c2ccc(-c3ccc(C(N)=O)cn3)cc2)CCO1
1016,Z24931,252536064,-8.615,0.16,enrichment,0.144,COc1ccc([C@H](Nc2cc3nncn3c(N)n2)[C@H]2C[C@@H](O)C2)cn1
1017,Z31694,2382301630,-8.615,0.16,enrichment,0.140,C[C@]1(O)CC2(CCN(Cc3ccc(OCC(N)=O)cc3)CC2)OC[C@@H]1O
1018,Z32806,4976888,-8.615,0.16,diversity,0.074,Cc1c(O)nc(Nc2nc(C)c3ccccc3n2)[nH]c1=O
1019,Z16714,4012705,-8.614,0.16,enrichment,0.250,O=C(OC[C@@H]1O[C@@H]2[C@H](Oc3nc(=O)ccn32)[C@@H]1O)c1ccccc1
1020,Z49515,1565510668,-8.614,0.16,enrichment,0.140,NC(=O)CO[C@H]1COCC[C@@H]1NC(=O)c1cccc(Cn2cccn2)c1
1021,Z22891,218955131,-8.614,0.16,enrichment,0.137,CC(C)c1cc(C(=O)N[C@@H]2CCOC[C@H]2OCc2cscn2)nc(N)n1
1022,Z27384,91595019,-8.614,0.16,enrichment,0.133,NS(=O)(=O)c1ccc(F)c(C(=O)N2CCC[C@@H](Cn3ccnc3)C2)c1
1023,Z05219,72143422,-8.613,0.17,diversity,0.095,OC[C@@H]1CN(c2cc(-c3ccccc3F)nc3ccnn23)C[C@H]1CO
1024,Z48315,2325821928,-8.613,0.17,diversity,0.099,CCn1nc(C)c(CNC(=O)c2ccc(-c3nc(=O)o[nH]3)s2)c1C
1025,Z02000,299793119,-8.612,0.17,enrichment,0.143,O=C(CCc1ccsc1)N1CCN(c2ncnc3[nH]cnc23)CC1
1026,Z06729,10270033,-8.612,0.17,enrichment,0.134,O=C([C@H]1CC(=O)N(C2CCCC2)C1)N1CCN(c2nccs2)CC1
1027,Z02716,20601795,-8.612,0.17,diversity,0.083,O=C1NCC[C@H]2c3cc(O)ccc3O[C@]12N1CCCCC1
1028,Z48824,71762922,-8.611,0.17,enrichment,0.145,COc1cc(N2CCC(N3CCC[C@H](C(=O)N4CCCC4)C3)CC2)ncn1
1029,Z43490,2325809224,-8.611,0.17,enrichment,0.138,N[C@@]12CCOC[C@@H]1CN(C(=O)c1ccc(Cn3ccnc3)cc1)C2
1030,Z48967,2382389352,-8.61,0.17,enrichment,0.161,Cc1cc(C[C@H]2CN(C(=O)c3ccn4ncnc4c3)C[C@@H]2O)on1
1031,Z46388,219722107,-8.61,0.17,enrichment,0.154,Cn1cnc2cc(C(=O)N[C@@H]3CCOC[C@H]3Oc3ccccn3)ccc21
1032,Z33644,2325780857,-8.61,0.17,diversity,0.101,OCC12CCC(CNc3c4c(nc5ncnn35)CCC4)(CC1)CO2
1033,Z08637,2332237727,-8.61,0.17,diversity,0.085,CCc1nc(=N[C@@H]2CS(=O)(=O)C[C@H]2C(=O)N2CC[C@@H](CC3CC3)C2)s[nH]1
1034,Z18548,2356168055,-8.609,0.17,enrichment,0.159,COC[C@@]12COC[C@@H]1CN(C(=O)c1cnc(-c3ccccc3)n1C)C2
1035,Z23180,2325825537,-8.608,0.17,diversity,0.103,Cc1nccnc1CN=c1[nH]cncc1C(=O)N1CCOC[C@H]1CC(C)(C)C
1036,Z15711,55154004,-8.608,0.17,diversity,0.116,Cc1ccc(C)c(OCC(=O)N2Cc3nc[nH]c3C[C@@H]2C(=O)O)c1C
